"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SDF2L1",0.766934620265957,-0.00898851056738839,2.68146822530445,0.00733000854401875,0.0380600489655608,-2.78256584783465
"GLDN",-0.766823128870681,-0.000559616913896225,-2.6810784128929,0.00733855282864582,0.0380868866447152,-2.78357248950478
"FDFT1",0.766677796852325,-0.00136854516338813,2.68057028197921,0.00734970394737029,0.0381272228221512,-2.78488445414793
"CHIA",-0.766403894762648,0.022700197200803,-2.6796126257059,0.00737076139457186,0.0382188882421665,-2.78735639130962
"SLC26A2",0.766286161895748,-0.0118671639992888,2.67920099095461,0.00737982925444971,0.0382483295718678,-2.7884186464544
"OR10H2",0.766109640279712,0.00151023396099802,2.67858381043887,0.00739344381201023,0.0383012977644221,-2.79001102248596
"PHIP",0.765689223370311,-0.00840789523080347,2.67711388776991,0.00742596001838059,0.038452091274616,-2.79380206541152
"ZDHHC7",0.765378644427553,-0.00310851501103291,2.67602799655513,0.00745006336859777,0.0385592041228847,-2.79660132537719
"MRPL3",0.764887941308782,-0.0214554450992679,2.6743123290311,0.00748828879023814,0.0387392766713695,-2.80102173684744
"DBI",0.764830999929852,-0.00060349666302606,2.67411324231071,0.00749273585254744,0.0387445181596209,-2.80153449952652
"TMPRSS5",0.764691882861931,-0.00247146584139506,2.67362684100952,0.00750361071337295,0.038769345729765,-2.80278710174956
"KIAA0319L",-0.764681672972554,-0.0236476479084635,-2.67359114371117,0.00750440938348017,0.038769345729765,-2.80287902204188
"KL",-0.764479710108489,0.0180123976641475,-2.67288501180844,0.00752022363422597,0.038833264652161,-2.80469705447429
"TAX1BP1",0.764296871465841,-0.00413098825912377,2.67224574478663,0.00753456617075604,0.0388789427736098,-2.8063425200219
"MFSD1",0.764279106970659,-0.00454796720151344,2.67218363397808,0.00753596098962018,0.0388789427736098,-2.80650237151036
"PSMA5",0.764069152605263,-0.0205401855525778,2.67144956102754,0.00755246357058178,0.0389462735223374,-2.80839133698119
"DAP3",0.763903231801325,-0.0159075934091451,2.67086944461093,0.00756552799114714,0.0389958210708603,-2.80988376410052
"HYOU1",0.763818408035447,-0.0204912527625845,2.67057287143906,0.00757221474443135,0.0390124652791867,-2.81064661306967
"TMEM69",0.763406034321536,-0.0259356928757593,2.66913107055854,0.00760479818434163,0.0391533521721583,-2.81435402312768
"TUBD1",0.76338453034522,0.00484099753480719,2.66905588523284,0.00760650074992209,0.0391533521721583,-2.81454729783492
"FCHSD2",0.763183683865071,0.00687794270961991,2.66835365659372,0.00762241916777304,0.0392173987551223,-2.81635221478775
"AGER",0.763049678309401,-0.0122764240486905,2.66788512690417,0.00763305660059888,0.0392542286347115,-2.817556198274
"MANEA",0.762845007901053,0.00628590960766842,2.66716952849181,0.00764932913102098,0.0393075079113584,-2.81939466765103
"ADAM22",0.762831748352895,-0.0107650990248548,2.66712316853344,0.00765038441667492,0.0393075079113584,-2.81951375566112
"TMPRSS2",0.76272037690079,0.00442158375594304,2.66673377548463,0.00765925327198163,0.0393351637085884,-2.82051393462736
"LAP3",0.762505157694965,-0.0132128761474143,2.6659812948342,0.00767641796195586,0.0393921149212672,-2.8224463116979
"CDKN3",0.762493793776684,-0.0265643780343726,2.66594156265237,0.0076773252425655,0.0393921149212672,-2.82254832914013
