"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SCD5",-0.528497069584916,0.0103903336314104,-2.16181717059777,0.0306323127731456,0.0517324330219132,-4.41193169542594
"KRTAP6-3",0.528332638022942,-0.00290923717734629,2.1611445633223,0.0306842154863056,0.0518123321358854,-4.41336457127481
"GBE1",0.528304680908097,-0.0125041066066565,2.16103020474893,0.0306930476383317,0.0518194907232225,-4.41360814849138
"HUWE1",0.528168020771954,-0.0155269532978761,2.16047119648597,0.0307362524407256,0.0518815801787657,-4.41479861860311
"ANXA9",0.528159272156398,-0.0206045234064202,2.16043541027556,0.0307390200740095,0.0518815801787657,-4.4148748188189
"BOC",0.528121499563669,0.00791584932613848,2.16028090149162,0.0307509719280861,0.051893989869069,-4.41520380263782
"EAF1",0.528076837805828,-0.0213770837576664,2.16009821257899,0.0307651087724782,0.0519100825900809,-4.41559275790725
"WDR59",0.527968060741001,-0.0151060811558726,2.15965326001437,0.0307995634670165,0.0519604477569299,-4.41653995004921
"ZNRF2",0.527902509287529,-0.0110425146442538,2.15938512180541,0.0308203426183053,0.0519877299689548,-4.41711065465623
"SARS2",0.527808488936544,-0.0091064019671449,2.15900053157617,0.0308501671350566,0.0520302594596179,-4.4179290917069
"MRPL54",0.527700890951345,0.00637479080212501,2.15856040203656,0.0308843290598892,0.052080090387495,-4.41886554172798
"KRTAP5-11",-0.527650595670841,-0.00618324137659185,-2.15835466920046,0.0309003087428416,0.0520992503803768,-4.41930320764595
"ASTE1",0.52736718682406,-0.0200532860718379,2.15719538536233,0.0309904853930924,0.0522434852368536,-4.4217686312537
"DTNA",0.527247337054873,0.021200188705598,2.15670513990246,0.0310286877864118,0.052300072347488,-4.42281082705116
"IQCF2",0.527202824459799,0.00183757330274313,2.1565230611401,0.0310428865701957,0.0523161895700549,-4.42319784164278
"COX15",0.526903349865834,-0.0266273817415351,2.15529806036592,0.031138559075051,0.0524695881188472,-4.42580077296511
"IMP3",0.52677216755054,-0.000290389867951125,2.15476145912818,0.0311805472401813,0.0525324943274549,-4.42694049920837
"NCALD",0.526702652350174,0.000215447643309892,2.15447710721326,0.0312028169985792,0.0525621654516228,-4.42754433980284
"PTAFR",-0.52654221072774,0.0040663534148389,-2.15382082078478,0.0312542678827565,0.0526409769400121,-4.42893770436972
"FXYD2",0.526411801042679,-0.0105840250032582,2.15328737999088,0.0312961416536372,0.0527036367579087,-4.43006994208489
"SCGB1D2",-0.52639555748346,0.0104266212120952,-2.15322093571474,0.0313013607331511,0.0527045594914406,-4.43021095161825
"NEU1",-0.526273555129292,0.00399162145329247,-2.15272188510637,0.0313405841422075,0.0527627291668946,-4.43126990894274
"NMT2",0.526186913452799,0.00236146002844619,2.15236747734385,0.0313684647943138,0.0528017884938449,-4.43202179322644
"ATG4D",-0.526167240182832,-0.0206426626039231,-2.1522870038365,0.0313747984709285,0.052804572068539,-4.43219250239171
"COL7A1",0.526120283787612,-0.0245631923749121,2.15209492871007,0.0313899202003405,0.0528204034032121,-4.43259992726417
"CRYZL1",0.526108960142613,-0.00624066661921528,2.15204860934218,0.0313935677764726,0.0528204034032121,-4.43269817328756
"EBPL",0.526008227739484,-0.00528385765619395,2.15163656346482,0.0314260317380412,0.0528671412107229,-4.4335720530419
"CREB3",0.525970026988286,-0.00658612862171747,2.15148030329874,0.0314383505761289,0.0528799805531399,-4.43390341071625
"HOXA13",0.52587916592857,-0.0375212452443967,2.15110863614988,0.0314676677622456,0.0529214033926692,-4.4346914532221
"PLVAP",0.525860090315998,-0.000715597141841559,2.15103060735999,0.0314738256679501,0.0529238710896394,-4.43485687967025
"SFXN3",0.525639452926299,-0.0319665566298654,2.15012809015606,0.0315451260183715,0.0530358600603913,-4.43676984265565
"SP5",-0.52558289633825,0.00219817822460045,-2.14989674544255,0.0315634249249394,0.0530587192234939,-4.43726006844505
"PCDHA7",-0.52554787670336,0.00319748107053943,-2.14975349763216,0.0315747601051214,0.0530698671631289,-4.43756358803875
"B4GALT7",0.52526136957926,-0.0190487198682701,2.1485815402912,0.0316676281300131,0.0532108525745004,-4.44004602185389
"ELF4",0.525259996831038,-0.0142933523984981,2.14857592506484,0.0316680736539723,0.0532108525745004,-4.44005791273802
"INSIG1",-0.525034779790584,0.00197469841326981,-2.1476546748003,0.0317412404212141,0.0533258510530909,-4.44200834476831
"LY6G5C",0.524631405555138,-0.000756703578161363,2.14600467256084,0.031872647849822,0.0535386460755607,-4.44549956889033
"NQO1",0.524423058916069,-0.0017450405472818,2.14515243067021,0.031940703514713,0.0536449773379737,-4.44730176854847
"HOXD9",0.524315813299,-0.00680959701437729,2.14471374249236,0.0319757834401551,0.0536959018537387,-4.44822916469221
"REM1",0.52415731848372,-0.0117857423961776,2.14406541947821,0.0320276873905153,0.0537750590516642,-4.44959938605215
"SPTBN4",-0.523976144120593,0.00104371817657642,-2.14332432577757,0.0320871068885725,0.0538668095556856,-4.45116516949859
"PREPL",-0.523838208259114,-0.00149361198195841,-2.14276009916034,0.0321324088433718,0.053934836206451,-4.45235690506872
"HSPB1",0.523665432810267,0.00326190412798227,2.14205336121708,0.0321892304036522,0.0540221756127335,-4.45384920438045
"MXI1",-0.523611618304498,0.0173351289335806,-2.14183323299066,0.0322069462375417,0.0540287894822588,-4.45431391148341
"EDA2R",0.52361096240772,0.0102626599586175,2.141830550045,0.0322071622114903,0.0540287894822588,-4.4543195750872
"TXNL4A",0.52360982472689,-0.00957298798525963,2.14182589636177,0.0322075368304239,0.0540287894822588,-4.45432939883177
"HSPA1B",0.52358814245325,-0.0165253841331,2.14173720502524,0.032214677147837,0.0540327340952943,-4.45451661871894
"GNPTG",0.523549931629413,0.00064214429384429,2.14158090365702,0.0322272638813624,0.0540458112921242,-4.45484653877681
"SPTAN1",0.523272698318122,-0.0337196638520635,2.14044688084573,0.0323187114392183,0.0541911162384753,-4.4572395067289
"SH3BP5L",0.523019107346646,-0.0100490691806008,2.13940956702131,0.0324025549981013,0.0543236297241571,-4.45942729343493
"TAF15",0.522860310755005,-0.015731052666713,2.13876000959101,0.0324551519710888,0.0544037259975925,-4.46079672760698
