"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC2A4RG",0.214904405231003,0.00791350211299251,1.60470496739042,0.108558803447886,0.127617105574339,-5.93622049885482
"SNAP29",0.214637719618134,-0.00169405662117743,1.60271360882686,0.108997952800998,0.128120002234989,-5.9393971945807
"S100A1",0.214620494719311,-0.00815385184665173,1.60258498940338,0.109026365156939,0.128140049798515,-5.93960223787214
"RIOK3",0.214564947737384,-0.00612382590473037,1.60217021652925,0.109118029436408,0.128234426219247,-5.94026335090739
"NIN",0.214365668824334,0.00742844365890092,1.60068218811344,0.109447383443735,0.128608084502777,-5.94263373466704
"CCL25",-0.214287890114887,-0.0166771867582877,-1.60010140950504,0.109576143592928,0.128745978148392,-5.94355829964194
"RASAL1",0.214249525063685,0.00101427041946183,1.59981493520885,0.109639699783817,0.128807239968847,-5.94401422610285
"ST3GAL6",0.21413925744286,0.0120790590270676,1.59899155981694,0.109822533220977,0.12900860409498,-5.9453241810665
"PHKB",0.214129392615053,-0.00149477195511039,1.59891789851545,0.109838901710776,0.129013616800192,-5.94544134017652
"NR4A1",-0.214122904038585,-0.00262034322802781,-1.59886944789911,0.109849669112775,0.129013616800192,-5.94551839847202
"RASSF2",0.214102166846059,0.0146443448915004,1.59871460195344,0.109884086828425,0.129040606961399,-5.94576465759029
"INMT",-0.213931528876148,0.0115818996237061,-1.59744043729568,0.110167619954651,0.12936010572883,-5.94779011868247
"KLHL10",-0.213923860736035,0.00250200185481571,-1.59738317880199,0.110180374942717,0.129361620237115,-5.9478811010675
"GAST",-0.213493478808098,-0.00557005802950488,-1.5941694893623,0.110898133463205,0.130190785544204,-5.95298234902506
"PEX6",0.213315941415332,-0.0162750687407417,1.59284380627189,0.111195290339807,0.130526057106122,-5.95508367826867
"TF",-0.213276031765953,0.00599351082972052,-1.59254579836211,0.11126217638352,0.130590984722278,-5.95555580746977
"HAGH",-0.213198866769081,0.00465741555860822,-1.59196960238485,0.111391590081372,0.130729281348878,-5.95646841508404
"ZNF425",-0.212969695937201,0.0102662557336079,-1.59025836909532,0.11177663369231,0.131167525527856,-5.95917680396111
"DMXL1",0.212801517133839,-0.00470347674670864,1.5890025671918,0.112059868387057,0.131486220363057,-5.96116252310796
"BBS2",0.212700769577309,0.00398977715287319,1.58825027873013,0.11222981113177,0.131671930851592,-5.96235131734398
"IAPP",0.212677294036007,-0.00264741773180076,1.58807498535865,0.112269439267693,0.131704728972487,-5.96262824158591
"RBP1",-0.21245284292712,-0.00362419749794922,-1.5863989945432,0.112648883641497,0.13213612164747,-5.96527438829256
