"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBXO44",0.233309941274741,-0.00442319063787884,1.74214028466613,0.0814839537415534,0.0974336000493797,-5.7074476426958
"PXK",0.23329214924159,0.00366032161066057,1.74200743041427,0.0815071978280726,0.0974510663446162,-5.70767786242027
"SLC25A3",0.233251869808921,-0.0088609898658841,1.74170666130897,0.0815598400577232,0.0975036740168776,-5.7081989926203
"ESR1",-0.233086212233876,-0.00104483490544726,-1.74046968557887,0.0817766323264716,0.0977524888801334,-5.71034130329798
"RPL27A",0.232906746767001,0.00688474776942936,1.73912960543552,0.082012021967383,0.0980234792222439,-5.71266046226419
"MEOX1",-0.232752953482844,0.00595388573647768,-1.73798122112589,0.0822141765515104,0.0982546927264794,-5.71464644878188
"TUSC2",0.23263265617895,-0.00569409547944069,1.73708295344768,0.0823725836093291,0.0984335798415653,-5.71619897561382
"PCMTD1",0.232423155389619,-0.0062952135001212,1.73551859762655,0.0826490441646082,0.0987534856834982,-5.71890082421762
"DACH2",-0.23235103366619,0.00459461609581288,-1.73498006009532,0.0827443909706612,0.0988569423254945,-5.71983038623199
"MGLL",-0.232224548239001,-0.000904095582530996,-1.73403558530386,0.0829118232746289,0.0990464904190194,-5.72145993417317
"ARL14",0.23211260830744,-0.00457058805717451,1.73319972266051,0.0830602302014542,0.0992132730640491,-5.72290134820369
"GGT1",0.232080415703473,-0.00427367356268657,1.73295933842342,0.0831029501094776,0.0992537933825803,-5.72331575320387
"PMVK",-0.23203176017629,0.00421273669448933,-1.73259602448354,0.0831675502643504,0.0993204349738215,-5.72394197101406
"CD40LG",0.231954550693893,0.00990841488640914,1.73201949633001,0.0832701451257866,0.0994324317339666,-5.72493542116278
"TCP11L2",-0.231943360148994,0.00432293851311893,-1.73193593581404,0.0832850234654648,0.099439674048766,-5.72507938185334
"CTNND2",-0.23187171562181,0.00878165252242614,-1.73140096153776,0.0833803291649236,0.0995429323847035,-5.72600088782124
"SCGB3A2",0.231827441338131,-0.0146650590181143,1.73107036262392,0.0834392695307756,0.0996027590050509,-5.72657021002295
